Reference,Item number,Type,Word,COCA Count,COCA Total Count,COCA Frequency per 1000 words
James et al. (2021),99,Foil,plants,328,5536628,0.05924183456067484
James et al. (2021),99,Foil,planted,109,5536628,0.019687073070468162
James et al. (2021),99,Foil,plantes,0,5536628,0.0
James et al. (2021),100,Target,play,3195,5536628,0.5770660409187686
James et al. (2021),100,Foil,plays,311,5536628,0.05617137362307889
James et al. (2021),100,Foil,playing,1119,5536628,0.2021085758335218
James et al. (2021),100,Foil,played,643,5536628,0.11613566958083513
James et al. (2021),101,Target,goose,129,5536628,0.023299380055875164
James et al. (2021),101,Foil,geese,55,5536628,0.009933844209869256
James et al. (2021),101,Foil,goosed,1,5536628,0.0001806153492703501
James et al. (2021),101,Foil,geeses,0,5536628,0.0
James et al. (2021),102,Target,fight,782,5536628,0.1412412031294138
James et al. (2021),102,Foil,fought,227,5536628,0.040999684284369474
James et al. (2021),102,Foil,fighted,0,5536628,0.0
James et al. (2021),102,Foil,fighting,436,5536628,0.07874829228187265
James et al. (2021),103,Target,bench,263,5536628,0.04750183685810208
James et al. (2021),103,Foil,benches,38,5536628,0.006863383272273304
James et al. (2021),103,Foil,benchs,0,5536628,0.0
James et al. (2021),103,Foil,benched,4,5536628,0.0007224613970814004
James et al. (2021),104,Target,choose,493,5536628,0.08904336719028261
James et al. (2021),104,Foil,chooses,25,5536628,0.004515383731758753
James et al. (2021),104,Foil,choose,493,5536628,0.08904336719028261
James et al. (2021),104,Foil,chooser,0,5536628,0.0
James et al. (2021),105,Target,send,882,5536628,0.1593027380564488
James et al. (2021),105,Foil,sent,823,5536628,0.14864643244949813
James et al. (2021),105,Foil,sends,129,5536628,0.023299380055875164
James et al. (2021),105,Foil,sended,0,5536628,0.0
James et al. (2021),106,Target,shelf,156,5536628,0.028175994486174617
James et al. (2021),106,Foil,shelves,100,5536628,0.018061534927035012
James et al. (2021),106,Foil,shelfs,0,5536628,0.0
James et al. (2021),106,Foil,shelver,0,5536628,0.0
James et al. (2021),107,Target,teach,629,5536628,0.11360705469105022
James et al. (2021),107,Foil,teaches,126,5536628,0.02275753400806411
James et al. (2021),107,Foil,teached,1,5536628,0.0001806153492703501
James et al. (2021),107,Foil,teacher,1116,5536628,0.20156672978571072
James et al. (2021),122,Target,still,4895,5536628,0.8841121346783638
James et al. (2021),122,Foil,stillness,29,5536628,0.0052378451288401535
James et al. (2021),122,Foil,sillist,0,5536628,0.0
James et al. (2021),122,Foil,silled,0,5536628,0.0
James et al. (2021),123,Target,music,872,5536628,0.1574965845637453
James et al. (2021),123,Foil,musician,40,5536628,0.007224613970814004
James et al. (2021),123,Foil,musics,0,5536628,0.0
James et al. (2021),123,Foil,musicker,0,5536628,0.0
James et al. (2021),124,Target,celebrate,212,5536628,0.038290454045314226
James et al. (2021),124,Foil,celebration,99,5536628,0.01788091957776466
James et al. (2021),124,Foil,celebratism,0,5536628,0.0
James et al. (2021),124,Foil,celebrates,30,5536628,0.0054184604781105025
James et al. (2021),125,Target,thunder,184,5536628,0.03323322426574442
James et al. (2021),125,Foil,thunderous,18,5536628,0.003251076286866302
James et al. (2021),125,Foil,thunderive,0,5536628,0.0
James et al. (2021),125,Foil,thundered,16,5536628,0.0028898455883256016
James et al. (2021),126,Target,include,455,5536628,0.08217998391800929
James et al. (2021),126,Foil,inclusive,21,5536628,0.0037929223346773525
James et al. (2021),126,Foil,includish,0,5536628,0.0
James et al. (2021),126,Foil,includes,180,5536628,0.03251076286866302
James et al. (2021),127,Target,treat,370,5536628,0.06682767923002954
James et al. (2021),127,Foil,treatment,459,5536628,0.0829024453150907
James et al. (2021),127,Foil,treatage,0,5536628,0.0
James et al. (2021),127,Foil,treated,250,5536628,0.04515383731758753
James et al. (2021),128,Target,walk,1315,5536628,0.2375091842905104
James et al. (2021),128,Foil,walkable,0,5536628,0.0
James et al. (2021),128,Foil,walkous,0,5536628,0.0
James et al. (2021),128,Foil,walks,562,5536628,0.10150582628993676
James et al. (2021),129,Target,plastic,515,5536628,0.09301690487423031
James et al. (2021),129,Foil,plasticity,0,5536628,0.0
James et al. (2021),129,Foil,plasticker,0,5536628,0.0
James et al. (2021),129,Foil,plasticked,0,5536628,0.0
James et al. (2021),130,Target,sign,827,5536628,0.14936889384657956
James et al. (2021),130,Foil,signage,0,5536628,0.0
James et al. (2021),130,Foil,signity,0,5536628,0.0
James et al. (2021),130,Foil,signed,153,5536628,0.02763414843836357
James et al. (2021),131,Target,angel,121,5536628,0.02185445726171236
James et al. (2021),131,Foil,angelic,8,5536628,0.0014449227941628008
James et al. (2021),131,Foil,angelant,0,5536628,0.0
James et al. (2021),131,Foil,angels,74,5536628,0.013365535846005907
Nagy et al. (2006),41,Target,directions,224,5536628,0.04045783823655843
Nagy et al. (2006),41,Foil,directs,18,5536628,0.003251076286866302
Nagy et al. (2006),41,Foil,directing,30,5536628,0.0054184604781105025
Nagy et al. (2006),41,Foil,directed,71,5536628,0.012823689798194858
Nagy et al. (2006),42,Target,loveliest,9,5536628,0.001625538143433151
Nagy et al. (2006),42,Foil,loving,182,5536628,0.032871993567203724
Nagy et al. (2006),42,Foil,lovingly,22,5536628,0.003973537683947702
Nagy et al. (2006),42,Foil,loveliness,8,5536628,0.0014449227941628008
Nagy et al. (2006),43,Target,announcement,66,5536628,0.011920613051843106
Nagy et al. (2006),43,Foil,announce,56,5536628,0.010114459559139607
Nagy et al. (2006),43,Foil,announcing,30,5536628,0.0054184604781105025
Nagy et al. (2006),43,Foil,announced,290,5536628,0.05237845128840153
Nagy et al. (2006),44,Target,quickness,11,5536628,0.001986768841973851
Nagy et al. (2006),44,Foil,quicker,46,5536628,0.008308306066436105
Nagy et al. (2006),44,Foil,quickly,1220,5536628,0.22035072610982714
Nagy et al. (2006),44,Foil,quickest,14,5536628,0.002528614889784902
Nagy et al. (2006),45,Target,creation,57,5536628,0.010295074908409958
Nagy et al. (2006),45,Foil,creative,133,5536628,0.024021841452956563
Nagy et al. (2006),45,Foil,creator,30,5536628,0.0054184604781105025
Nagy et al. (2006),45,Foil,creates,71,5536628,0.012823689798194858
