Reference,Item number,Type,Word,COCA Count,COCA Total Count,COCA Frequency per 1000 words
Kieffer & Lesaux (2008),93,Input,decision,323,5536628,0.058338757814323086
Kieffer & Lesaux (2008),93,Target,decide,391,5536628,0.0706206015647069
Kieffer & Lesaux (2008),94,Input,popularity,31,5536628,0.005599075827380853
Kieffer & Lesaux (2008),94,Target,popular,304,5536628,0.054907066178186435
Kieffer & Lesaux (2008),95,Input,runner,139,5536628,0.025105533548578664
Kieffer & Lesaux (2008),95,Target,run,2132,5536628,0.38507192464438644
Kieffer & Lesaux (2008),96,Input,availability,22,5536628,0.003973537683947702
Kieffer & Lesaux (2008),96,Target,available,474,5536628,0.08561167555414595
Kieffer & Lesaux (2008),97,Input,glorious,68,5536628,0.012281843750383808
Kieffer & Lesaux (2008),97,Target,glory,107,5536628,0.019325842371927464
Kieffer & Lesaux (2008),98,Input,originality,6,5536628,0.0010836920956221008
Kieffer & Lesaux (2008),98,Target,original,219,5536628,0.039554761490206675
Kieffer & Lesaux (2008),99,Input,courageous,38,5536628,0.006863383272273304
Kieffer & Lesaux (2008),99,Target,courage,202,5536628,0.036484300552610725
Kieffer & Lesaux (2008),100,Input,admission,23,5536628,0.004154153033218052
Kieffer & Lesaux (2008),100,Target,admit,271,5536628,0.04894675965226488
Kieffer & Lesaux (2008),101,Input,baker,153,5536628,0.02763414843836357
Kieffer & Lesaux (2008),101,Target,bake,266,5536628,0.048043682905913127
Kieffer & Lesaux (2008),102,Input,division,128,5536628,0.023118764706604813
Kieffer & Lesaux (2008),102,Target,divide,86,5536628,0.01553292003725011
Kieffer & Lesaux (2008),103,Input,fourth,320,5536628,0.057796911766512034
Kieffer & Lesaux (2008),103,Target,four,2329,5536628,0.4206531484506454
Kieffer & Lesaux (2008),104,Input,continuous,31,5536628,0.005599075827380853
Kieffer & Lesaux (2008),104,Target,continue,391,5536628,0.0706206015647069
Kieffer & Lesaux (2008),105,Input,swimmer,69,5536628,0.012462459099654157
Kieffer & Lesaux (2008),105,Target,swim,381,5536628,0.06881444807200339
Kieffer & Lesaux (2008),106,Input,furious,100,5536628,0.018061534927035012
Kieffer & Lesaux (2008),106,Target,fury,79,5536628,0.01426861259235766
Kieffer & Lesaux (2008),107,Input,teacher,1116,5536628,0.20156672978571072
