Reference,Item number,Type,Word,CHILDES Count,CHILDES Total Count,CHILDES Frequency per 1000 words
James et al. (2021),99,Foil,planted,26,3826525,0.006794676632
James et al. (2021),99,Foil,plantes,0,3826525,0
James et al. (2021),100,Target,play,6421,3826525,1.678023794
James et al. (2021),100,Foil,plays,122,3826525,0.03188271343
James et al. (2021),100,Foil,playing,1649,3826525,0.4309392987
James et al. (2021),100,Foil,played,398,3826525,0.1040108192
James et al. (2021),101,Target,goose,132,3826525,0.03449605059
James et al. (2021),101,Foil,geese,30,3826525,0.007840011499
James et al. (2021),101,Foil,goosed,0,3826525,0
James et al. (2021),101,Foil,geeses,0,3826525,0
James et al. (2021),102,Target,fight,180,3826525,0.04704006899
James et al. (2021),102,Foil,fought,12,3826525,0.003136004599
James et al. (2021),102,Foil,fighted,1,3826525,0.0002613337166
James et al. (2021),102,Foil,fighting,124,3826525,0.03240538086
James et al. (2021),103,Target,bench,71,3826525,0.01855469388
James et al. (2021),103,Foil,benches,8,3826525,0.002090669733
James et al. (2021),103,Foil,benchs,0,3826525,0
James et al. (2021),103,Foil,benched,0,3826525,0
James et al. (2021),104,Target,choose,122,3826525,0.03188271343
James et al. (2021),104,Foil,chooses,7,3826525,0.001829336016
James et al. (2021),104,Foil,choose,122,3826525,0.03188271343
James et al. (2021),104,Foil,chooser,0,3826525,0
James et al. (2021),105,Target,send,176,3826525,0.04599473413
James et al. (2021),105,Foil,sent,182,3826525,0.04756273643
James et al. (2021),105,Foil,sends,11,3826525,0.002874670883
James et al. (2021),105,Foil,sended,0,3826525,0
James et al. (2021),106,Target,shelf,102,3826525,0.0266560391
James et al. (2021),106,Foil,shelves,17,3826525,0.004442673183
James et al. (2021),106,Foil,shelfs,0,3826525,0
James et al. (2021),106,Foil,shelver,0,3826525,0
James et al. (2021),107,Target,teach,162,3826525,0.04233606209
James et al. (2021),107,Foil,teaches,8,3826525,0.002090669733
James et al. (2021),107,Foil,teached,0,3826525,0
James et al. (2021),107,Foil,teacher,418,3826525,0.1092374935
James et al. (2021),122,Target,still,2000,3826525,0.5226674332
James et al. (2021),122,Foil,stillness,0,3826525,0
James et al. (2021),122,Foil,stillist,0,3826525,0
James et al. (2021),122,Foil,stilled,0,3826525,0
James et al. (2021),123,Target,music,507,3826525,0.1324961943
James et al. (2021),123,Foil,musician,5,3826525,0.001306668583
James et al. (2021),123,Foil,musics,1,3826525,0.0002613337166
James et al. (2021),123,Foil,musicker,0,3826525,0
James et al. (2021),124,Target,celebrate,18,3826525,0.004704006899
James et al. (2021),124,Foil,celebration,19,3826525,0.004965340616
James et al. (2021),124,Foil,celebratism,0,3826525,0
James et al. (2021),124,Foil,celebrates,0,3826525,0
James et al. (2021),125,Target,thunder,34,3826525,0.008885346365
James et al. (2021),125,Foil,thunderous,1,3826525,0.0002613337166
James et al. (2021),125,Foil,thunderive,0,3826525,0
James et al. (2021),125,Foil,thundered,3,3826525,0.0007840011499
James et al. (2021),126,Target,include,8,3826525,0.002090669733
James et al. (2021),126,Foil,inclusive,0,3826525,0
James et al. (2021),126,Foil,includish,0,3826525,0
James et al. (2021),126,Foil,includes,3,3826525,0.0007840011499
James et al. (2021),127,Target,treat,88,3826525,0.02299736706
James et al. (2021),127,Foil,treatment,0,3826525,0
James et al. (2021),127,Foil,treatage,0,3826525,0
James et al. (2021),127,Foil,treated,7,3826525,0.001829336016
James et al. (2021),128,Target,walk,1020,3826525,0.266560391
James et al. (2021),128,Foil,walkable,0,3826525,0
James et al. (2021),128,Foil,walkous,0,3826525,0
James et al. (2021),128,Foil,walks,85,3826525,0.02221336591
James et al. (2021),129,Target,plastic,214,3826525,0.05592541536
James et al. (2021),129,Foil,plasticity,0,3826525,0
James et al. (2021),129,Foil,plasticker,0,3826525,0
James et al. (2021),129,Foil,plasticked,0,3826525,0
James et al. (2021),130,Target,sign,193,3826525,0.05043740731
