Reference,Item number,Type,Word,CHILDES Count,CHILDES Total Count,CHILDES Frequency per 1000 words
Kruk & Bergman (2013),119,Target,glass,358,3826525,0.09355747055
Kruk & Bergman (2013),120,Input,popularity,0,3826525,0
Kruk & Bergman (2013),120,Target,popular,9,3826525,0.00235200345
Kruk & Bergman (2013),121,Input,dirty,910,3826525,0.2378136821
Kruk & Bergman (2013),121,Target,dirt,265,3826525,0.06925343491
Kruk & Bergman (2013),122,Input,reader,15,3826525,0.003920005749
Kruk & Bergman (2013),122,Target,read,3326,3826525,0.8691959415
Kruk & Bergman (2013),123,Input,babies,584,3826525,0.1526188905
Kruk & Bergman (2013),123,Target,baby,5735,3826525,1.498748865
Kruk & Bergman (2013),124,Input,books,1051,3826525,0.2746617362
Kruk & Bergman (2013),124,Target,book,4762,3826525,1.244471159
Kruk & Bergman (2013),125,Input,acceptance,0,3826525,0
Kruk & Bergman (2013),125,Target,accept,5,3826525,0.001306668583
Kruk & Bergman (2013),126,Input,growth,3,3826525,0.0007840011499
Kruk & Bergman (2013),126,Target,grow,331,3826525,0.0865014602
Kruk & Bergman (2013),127,Input,dryer,50,3826525,0.01306668583
Kruk & Bergman (2013),127,Target,dry,446,3826525,0.1165548376
Kruk & Bergman (2013),128,Input,density,0,3826525,0
Kruk & Bergman (2013),128,Target,dense,4,3826525,0.001045334866
Kruk & Bergman (2013),129,Input,agreement,3,3826525,0.0007840011499
Kruk & Bergman (2013),129,Target,agree,33,3826525,0.008624012649
Kruk & Bergman (2013),130,Input,believe,368,3826525,0.09617080772
Kruk & Bergman (2013),130,Target,belief,1,3826525,0.0002613337166
Kruk & Bergman (2013),131,Input,carried,60,3826525,0.015680023
Kruk & Bergman (2013),131,Target,carry,371,3826525,0.09695480887
Kruk & Bergman (2013),132,Input,strength,11,3826525,0.002874670883
Kruk & Bergman (2013),132,Target,strong,259,3826525,0.06768543261
Kruk & Bergman (2013),133,Input,fifth,60,3826525,0.015680023
Kruk & Bergman (2013),133,Target,five,1965,3826525,0.5135207532
Kruk & Bergman (2013),134,Input,leaves,255,3826525,0.06664009774
Kruk & Bergman (2013),134,Target,leaf,135,3826525,0.03528005174
Kruk & Bergman (2013),135,Input,discussion,13,3826525,0.003397338316
Kruk & Bergman (2013),135,Target,discuss,12,3826525,0.003136004599
Kruk & Bergman (2013),136,Input,description,2,3826525,0.0005226674332
Kruk & Bergman (2013),136,Target,describe,21,3826525,0.005488008049
Kruk & Bergman (2013),137,Input,enter,13,3826525,0.003397338316
Kruk & Bergman (2013),137,Target,entered,5,3826525,0.001306668583
Kruk & Bergman (2013),138,Input,sing,1143,3826525,0.2987044381
Kruk & Bergman (2013),138,Target,singer,17,3826525,0.004442673183
Kruk & Bergman (2013),139,Input,try,2952,3826525,0.7714571315
Kruk & Bergman (2013),139,Target,tried,217,3826525,0.05670941651
Kruk & Bergman (2013),140,Input,tree,1142,3826525,0.2984431044
Kruk & Bergman (2013),140,Target,trees,344,3826525,0.08989879852
Kruk & Bergman (2013),141,Input,stop,1813,3826525,0.4737980282
Kruk & Bergman (2013),141,Target,stopped,176,3826525,0.04599473413
Kruk & Bergman (2013),142,Input,egg,794,3826525,0.207498971
Kruk & Bergman (2013),142,Target,eggs,631,3826525,0.1649015752
Kruk & Bergman (2013),143,Input,perform,11,3826525,0.002874670883
Kruk & Bergman (2013),143,Target,performance,9,3826525,0.00235200345
Kruk & Bergman (2013),144,Input,sun,596,3826525,0.1557548951
Kruk & Bergman (2013),144,Target,sunny,110,3826525,0.02874670883
Kruk & Bergman (2013),145,Input,car,3681,3826525,0.9619694109
Kruk & Bergman (2013),145,Target,cars,575,3826525,0.1502668871
Kruk & Bergman (2013),146,Input,ask,1201,3826525,0.3138617937
Kruk & Bergman (2013),146,Target,asked,557,3826525,0.1455628802
Kruk & Bergman (2013),147,Input,warm,476,3826525,0.1243948491
Kruk & Bergman (2013),147,Target,warmth,3,3826525,0.0007840011499
Kruk & Bergman (2013),148,Input,fish,1678,3826525,0.4385179765
Kruk & Bergman (2013),148,Target,fishing,130,3826525,0.03397338316
Kruk & Bergman (2013),149,Input,wish,238,3826525,0.06219742456
Kruk & Bergman (2013),149,Target,wishes,8,3826525,0.002090669733
Kruk & Bergman (2013),150,Input,come,11775,3826525,3.077204513
Kruk & Bergman (2013),150,Target,coming,1733,3826525,0.4528913309
Kruk & Bergman (2013),151,Input,assist,0,3826525,0
Kruk & Bergman (2013),151,Target,assistance,1,3826525,0.0002613337166
Kruk & Bergman (2013),152,Input,human,42,3826525,0.0109760161
Kruk & Bergman (2013),152,Target,humanity,0,3826525,0
Kruk & Bergman (2013),153,Input,teach,162,3826525,0.04233606209
Kruk & Bergman (2013),153,Target,teacher,418,3826525,0.1092374935
Kruk & Bergman (2013),154,Input,profit,1,3826525,0.0002613337166
Kruk & Bergman (2013),154,Target,profitable,0,3826525,0
Kruk & Bergman (2013),155,Input,appear,11,3826525,0.002874670883
Kruk & Bergman (2013),155,Target,appearance,1,3826525,0.0002613337166
Kruk & Bergman (2013),156,Input,body,313,3826525,0.0817974533
Kruk & Bergman (2013),156,Target,bodies,14,3826525,0.003658672033
Kruk & Bergman (2013),157,Input,deep,131,3826525,0.03423471688
Kruk & Bergman (2013),157,Target,depth,0,3826525,0
Kruk & Bergman (2013),158,Input,life,165,3826525,0.04312006324
Kruk & Bergman (2013),158,Target,live,868,3826525,0.226837666
Kruk & Bergman (2013),159,Input,dead,184,3826525,0.04808540386
Kruk & Bergman (2013),159,Target,death,18,3826525,0.004704006899
Kruk & Bergman (2013),160,Input,permit,0,3826525,0
Kruk & Bergman (2013),160,Target,permission,8,3826525,0.002090669733
Kruk & Bergman (2013),161,Input,shelf,102,3826525,0.0266560391
Kruk & Bergman (2013),161,Target,shelves,17,3826525,0.004442673183
Kruk & Bergman (2013),162,Input,protect,54,3826525,0.0141120207
Kruk & Bergman (2013),162,Target,protection,1,3826525,0.0002613337166
Kruk & Bergman (2013),163,Input,active,5,3826525,0.001306668583
Kruk & Bergman (2013),163,Target,activity,13,3826525,0.003397338316
Lam (2009),167,Input,growth,3,3826525,0.0007840011499
Lam (2009),167,Target,grow,331,3826525,0.0865014602
Lam (2009),168,Input,density,0,3826525,0
Lam (2009),168,Target,dense,4,3826525,0.001045334866
Lam (2009),169,Input,description,2,3826525,0.0005226674332
Lam (2009),169,Target,describe,21,3826525,0.005488008049
Lam (2009),170,Input,runner,10,3826525,0.002613337166
Lam (2009),170,Target,run,855,3826525,0.2234403277
Lam (2009),171,Input,jacket,293,3826525,0.07657077897
Lam (2009),171,Target,jackets,18,3826525,0.004704006899
Lam (2009),172,Input,skip,67,3826525,0.01750935901
Lam (2009),172,Target,skipped,50,3826525,0.01306668583
Lam (2009),173,Input,music,507,3826525,0.1324961943
Lam (2009),173,Target,musician,5,3826525,0.001306668583
Lam (2009),174,Input,slow,206,3826525,0.05383474562
Lam (2009),174,Target,slowest,2,3826525,0.0005226674332
Lam (2009),175,Input,science,24,3826525,0.006272009199
Lam (2009),175,Target,scientist,5,3826525,0.001306668583
Lam (2009),176,Input,four,1855,3826525,0.4847740443
Lam (2009),176,Target,fourth,64,3826525,0.01672535786
Lam (2009),177,Input,dance,546,3826525,0.1426882093
Lam (2009),177,Target,dancer,24,3826525,0.006272009199
Lam (2009),178,Input,art,70,3826525,0.01829336016
Lam (2009),178,Target,artist,43,3826525,0.01123734981
Lam (2009),179,Input,cloud,67,3826525,0.01750935901
Lam (2009),179,Target,cloudy,8,3826525,0.002090669733
Lam (2009),180,Input,paint,496,3826525,0.1296215234
Lam (2009),180,Target,painter,5,3826525,0.001306668583
Lam (2009),181,Input,curl,28,3826525,0.007317344065
Lam (2009),181,Target,curly,36,3826525,0.009408013798
Lam (2009),182,Input,calm,57,3826525,0.01489602185
Lam (2009),182,Target,calmly,0,3826525,0
Lam (2009),183,Input,magic,260,3826525,0.06794676632
Lam (2009),183,Target,musician,5,3826525,0.001306668583
Lam (2009),184,Input,strong,259,3826525,0.06768543261
Lam (2009),184,Target,strength,11,3826525,0.002874670883
Lam (2009),185,Input,discuss,12,3826525,0.003136004599
Lam (2009),185,Target,discussion,13,3826525,0.003397338316
Lam (2009),186,Input,appear,11,3826525,0.002874670883
Lam (2009),186,Target,appearance,1,3826525,0.0002613337166
Lam (2009),187,Input,remark,0,3826525,0
Lam (2009),187,Target,remarkable,3,3826525,0.0007840011499
Lam (2009),188,Input,major,0,3826525,0
Lam (2009),188,Target,majority,1,3826525,0.0002613337166
Lam (2009),189,Input,humour,0,3826525,0
Lam (2009),189,Target,humorous,2,3826525,0.0005226674332
Lam (2009),190,Input,mystery,16,3826525,0.004181339466
Lam (2009),190,Target,mysterious,10,3826525,0.002613337166
Deacon et al. (2013),192,Input,plugs,16,3826525,0.004181339466
Deacon et al. (2013),192,Target,plugged,46,3826525,0.01202135096
Deacon et al. (2013),194,Input,chased,23,3826525,0.006010675482
Deacon et al. (2013),194,Target,chases,18,3826525,0.004704006899
Deacon et al. (2013),196,Input,slammed,9,3826525,0.00235200345
Deacon et al. (2013),196,Target,slams,0,3826525,0
Deacon et al. (2013),198,Input,feeds,8,3826525,0.002090669733
Deacon et al. (2013),198,Target,fed,53,3826525,0.01385068698
Deacon et al. (2013),200,Input,crept,9,3826525,0.00235200345
Deacon et al. (2013),200,Target,creeps,3,3826525,0.0007840011499
Deacon et al. (2013),202,Input,sells,20,3826525,0.005226674332
Deacon et al. (2013),202,Target,sold,35,3826525,0.009146680082
Deacon et al. (2013),204,Input,ran,377,3826525,0.09852281117
Deacon et al. (2013),204,Target,runs,82,3826525,0.02142936476
Deacon et al. (2013),206,Input,opens,96,3826525,0.0250880368
Deacon et al. (2013),206,Target,opened,161,3826525,0.04207472838
Deacon et al. (2013),208,Input,strong,259,3826525,0.06768543261
Deacon et al. (2013),208,Target,strongest,3,3826525,0.0007840011499
Deacon et al. (2013),210,Input,chill,5,3826525,0.001306668583
Deacon et al. (2013),210,Target,chilly,42,3826525,0.0109760161
Deacon et al. (2013),212,Input,write,1247,3826525,0.3258831446
Deacon et al. (2013),212,Target,writer,10,3826525,0.002613337166
Deacon et al. (2013),214,Input,curl,28,3826525,0.007317344065
Deacon et al. (2013),214,Target,curly,36,3826525,0.009408013798
Deacon et al. (2013),216,Input,store,1098,3826525,0.2869444209
Deacon et al. (2013),216,Target,shortage,1,3826525,0.0002613337166
Deacon et al. (2013),218,Input,bite,645,3826525,0.1685602472
Deacon et al. (2013),218,Target,biting,95,3826525,0.02482670308
Deacon et al. (2013),220,Input,goose,132,3826525,0.03449605059
Deacon et al. (2013),220,Target,geese,30,3826525,0.007840011499
Deacon et al. (2013),222,Input,obedient,2,3826525,0.0005226674332
Deacon et al. (2013),222,Target,obedience,0,3826525,0
Deacon et al. (2013),224,Input,strong,259,3826525,0.06768543261
Deacon et al. (2013),224,Target,strength,11,3826525,0.002874670883
Deacon et al. (2013),226,Input,clean,1330,3826525,0.3475738431
Deacon et al. (2013),226,Target,cleaner,101,3826525,0.02639470538
Deacon et al. (2013),228,Input,deep,131,3826525,0.03423471688
Deacon et al. (2013),228,Target,depth,0,3826525,0
Deacon et al. (2013),230,Input,mouse,728,3826525,0.1902509457
Deacon et al. (2013),230,Target,mice,184,3826525,0.04808540386
Deacon et al. (2013),232,Input,scratch,135,3826525,0.03528005174
Deacon et al. (2013),232,Target,scratched,35,3826525,0.009146680082
Deacon et al. (2013),234,Input,true,217,3826525,0.05670941651
Deacon et al. (2013),234,Target,truth,38,3826525,0.009930681232
Deacon et al. (2013),236,Input,farm,446,3826525,0.1165548376
Deacon et al. (2013),236,Target,farmer,203,3826525,0.05305074447
Deacon et al. (2013),238,Input,mild,4,3826525,0.001045334866
Deacon et al. (2013),238,Target,mildly,1,3826525,0.0002613337166
Deacon et al. (2013),240,Input,sing,1143,3826525,0.2987044381
Deacon et al. (2013),240,Target,sang,78,3826525,0.0203840299
Deacon et al. (2013),242,Input,science,24,3826525,0.006272009199
Deacon et al. (2013),242,Target,scientist,5,3826525,0.001306668583
Deacon et al. (2013),244,Input,shrink,8,3826525,0.002090669733
Deacon et al. (2013),244,Target,shrinkage,0,3826525,0
Deacon et al. (2013),246,Input,bold,5,3826525,0.001306668583
Deacon et al. (2013),246,Target,boldly,0,3826525,0
Deacon et al. (2013),248,Input,fly,648,3826525,0.1693442484
Deacon et al. (2013),248,Target,flying,368,3826525,0.09617080772
Deacon (2012),250,Input,plugs,16,3826525,0.004181339466
Deacon (2012),250,Target,plugged,46,3826525,0.01202135096
Deacon (2012),252,Input,chased,23,3826525,0.006010675482
Deacon (2012),252,Target,chases,18,3826525,0.004704006899
Deacon (2012),254,Input,slammed,9,3826525,0.00235200345
Deacon (2012),254,Target,slams,0,3826525,0
Deacon (2012),256,Input,feeds,8,3826525,0.002090669733
Deacon (2012),256,Target,fed,53,3826525,0.01385068698
Deacon (2012),258,Input,crept,9,3826525,0.00235200345
Deacon (2012),258,Target,creeps,3,3826525,0.0007840011499
Deacon (2012),260,Input,sells,20,3826525,0.005226674332
Deacon (2012),260,Target,sold,35,3826525,0.009146680082
Deacon (2012),262,Input,ran,377,3826525,0.09852281117
Deacon (2012),262,Target,runs,82,3826525,0.02142936476
Deacon (2012),264,Input,opens,96,3826525,0.0250880368
Deacon (2012),264,Target,opened,161,3826525,0.04207472838
