Reference,Item number,Type,Word,Books Count,Books Total Count,Books Frequency per 1000 words,COCA Count,COCA Total Count,COCA Frequency per 1000 words,Movies Count,Movies Total Count,Movies Frequency per 1000 words,CHILDES Count,CHILDES Total Count,CHILDES Frequency per 1000 words,Average Frequency per 1000 Words
Carlisle (2000),42,Input,adventure,7,199877,0.0350215382460213,423,5536628,0.0764002927413581,5,66112,0.0756292352371732,20,3826525,0.005226674332,0.048069435139138146
Carlisle (2000),42,Target,adventurous,2,199877,0.0100061537845775,19,5536628,0.0034316916361366,0,66112,0.0,1,3826525,0.0002613337166,0.0034247947843285254
Carlisle (2000),43,Input,absorb,0,199877,0.0,48,5536628,0.0086695367649768,0,66112,0.0,2,3826525,0.0005226674332,0.0022980510495441996
Carlisle (2000),43,Target,absorption,0,199877,0.0,11,5536628,0.0019867688419738,0,66112,0.0,0,3826525,0.0,0.00049669221049345
Carlisle (2000),44,Input,active,1,199877,0.0050030768922887,252,5536628,0.0455150680161282,1,66112,0.0151258470474346,5,3826525,0.001306668583,0.016737665134712875
Carlisle (2000),44,Target,activity,1,199877,0.0050030768922887,373,5536628,0.0673695252778406,1,66112,0.0151258470474346,13,3826525,0.003397338316,0.022723946883390973
Carlisle (2000),45,Input,swim,27,199877,0.1350830760917964,381,5536628,0.0688144480720033,2,66112,0.0302516940948693,351,3826525,0.09172813453,0.08146933819716726
Carlisle (2000),45,Target,swimmer,0,199877,0.0,69,5536628,0.0124624590996541,0,66112,0.0,14,3826525,0.003658672033,0.004030282783163525
Carlisle (2000),46,Input,human,0,199877,0.0,735,5536628,0.1327522817137073,3,66112,0.0453775411423039,42,3826525,0.0109760161,0.047276459739002796
Carlisle (2000),46,Target,humanity,0,199877,0.0,16,5536628,0.0028898455883256,0,66112,0.0,0,3826525,0.0,0.0007224613970814
Carlisle (2000),47,Input,wash,15,199877,0.0750461533843313,429,5536628,0.0774839848369802,1,66112,0.0151258470474346,920,3826525,0.2404270193,0.10202075114218653
Carlisle (2000),47,Target,washer,0,199877,0.0,14,5536628,0.0025286148897849,0,66112,0.0,12,3826525,0.003136004599,0.0014161548721962252
Carlisle (2000),48,Input,humor,0,199877,0.0,150,5536628,0.0270923023905525,3,66112,0.0453775411423039,5,3826525,0.001306668583,0.018444128028964103
Carlisle (2000),48,Target,humorous,0,199877,0.0,12,5536628,0.0021673841912442,0,66112,0.0,2,3826525,0.0005226674332,0.0006725129061110499
Carlisle (2000),49,Input,assist,0,199877,0.0,74,5536628,0.0133655358460059,2,66112,0.0302516940948693,0,3826525,0.0,0.0109043074852188
Carlisle (2000),49,Target,assistance,0,199877,0.0,180,5536628,0.032510762868663,0,66112,0.0,1,3826525,0.0002613337166,0.00819302414631575
Carlisle (2000),50,Input,mystery,3,199877,0.0150092306768662,234,5536628,0.0422639917292619,2,66112,0.0302516940948693,16,3826525,0.004181339466,0.02292656399174935
Carlisle (2000),50,Target,mysterious,3,199877,0.0150092306768662,171,5536628,0.0308852247252298,2,66112,0.0302516940948693,10,3826525,0.002613337166,0.019689871665741324
Carlisle (2000),51,Input,produce,0,199877,0.0,124,5536628,0.0223963033095234,0,66112,0.0,4,3826525,0.001045334866,0.00586040954388085
Carlisle (2000),51,Target,production,0,199877,0.0,76,5536628,0.0137267665445466,0,66112,0.0,3,3826525,0.0007840011499,0.00362769192361165
