Reference,Item number,Type,Word,Books Count,Books Total Count,Books Frequency per 1000 words,COCA Count,COCA Total Count,COCA Frequency per 1000 words,Movies Count,Movies Total Count,Movies Frequency per 1000 words,CHILDES Count,CHILDES Total Count,CHILDES Frequency per 1000 words,Average Frequency per 1000 Words
James et al. (2021),105,Target,sent,46,199877,0.2301415370452828,823,5536628,0.1486464324494981,19,66112,0.2873910939012585,182,3826525,0.04756273643,0.17843544995650984
James et al. (2021),105,Foil,sends,1,199877,0.0050030768922887,129,5536628,0.0232993800558751,3,66112,0.0453775411423039,11,3826525,0.002874670883,0.019138667243366925
James et al. (2021),105,Foil,sended,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
James et al. (2021),106,Target,shelves,3,199877,0.0150092306768662,100,5536628,0.018061534927035,0,66112,0.0,17,3826525,0.004442673183,0.0093783596967253
James et al. (2021),106,Foil,shelfs,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
James et al. (2021),106,Foil,shelver,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
James et al. (2021),107,Target,teaches,3,199877,0.0150092306768662,126,5536628,0.0227575340080641,0,66112,0.0,8,3826525,0.002090669733,0.009964358604482575
James et al. (2021),107,Foil,teached,0,199877,0.0,1,5536628,0.0001806153492703,0,66112,0.0,0,3826525,0.0,4.5153837317575e-05
James et al. (2021),107,Foil,teacher,31,199877,0.1550953836609515,1116,5536628,0.2015667297857107,5,66112,0.0756292352371732,418,3826525,0.1092374935,0.13538221054595884
James et al. (2021),122,Target,stillness,2,199877,0.0100061537845775,29,5536628,0.0052378451288401,0,66112,0.0,0,3826525,0.0,0.0038109997283544
James et al. (2021),122,Foil,stillist,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
James et al. (2021),122,Foil,stilled,0,199877,0.0,11,5536628,0.0019867688419738,0,66112,0.0,0,3826525,0.0,0.00049669221049345
James et al. (2021),123,Target,musician,0,199877,0.0,40,5536628,0.007224613970814,0,66112,0.0,5,3826525,0.001306668583,0.0021328206384535
James et al. (2021),123,Foil,musics,0,199877,0.0,0,5536628,0.0,0,66112,0.0,1,3826525,0.0002613337166,6.533342915e-05
